country,Reserve ,Holdings(%)
United States,"8,133.50",69.70%
Germany,"3,352.60",69.00%
Italy,"2,451.80",66.00%
France,"2,437.00",66.80%
Russian Federation,"2,329.60",26.20%
China,"2,245.30",4.30%
Switzerland,"1,040.00",7.90%
Japan,846,4.30%
India,812.3,8.50%
"Netherlands, The",612.5,58.30%
Turkey,552,30.00%
ECB,506.5,33.90%
Taiwan Province of China,422.4,4.70%
Portugal,382.6,72.30%
"Uzbekistan, Rep. of",371.4,71.20%
"Poland, Rep. of",358.7,12.50%
Saudi Arabia,323.1,4.70%
United Kingdom,310.3,11.80%
Kazakhstan,300.4,53.90%
Lebanon,286.8,56.80%
Spain,281.6,18.00%
Austria,280,59.60%
Thailand,244.2,7.30%
Singapore,230,4.10%
Belgium,227.4,37.10%
Algeria,173.6,14.10%
Philippines,159,10.10%
Iraq,142.6,8.40%
Brazil,129.7,2.40%
Egypt,126.2,25.10%
Sweden,125.7,13.60%
South Africa,125.4,13.50%
Mexico,120.1,3.60%
Libya,116.6,9.50%
Greece,114.4,57.10%
"Korea, Rep. of",104.4,1.60%
Romania,103.6,9.30%
Qatar,101,12.90%
Hungary,94.5,12.40%
Australia,79.9,9.40%
Kuwait,79,9.90%
Indonesia,78.6,3.50%
United Arab Emirates,74.5,2.60%
Jordan,74.3,25.70%
Denmark,66.5,4.00%
Pakistan,64.7,31.30%
Argentina,61.7,14.70%
Belarus,54,44.00%
Finland,49,19.20%
Cambodia,42.5,14.90%
Bulgaria,40.9,6.60%
"Serbia, Rep. of",39.9,9.60%
Malaysia,38.9,2.20%
Czech Rep.,32.4,1.50%
Slovak Rep.,31.7,18.30%
Ukraine,27.1,4.60%
Ecuador,26.3,39.10%
Bolivia,24.3,75.60%
Kyrgyz,22.1,45.00%
Morocco,22.1,4.00%
Nigeria,21.5,3.30%
Bangladesh,14.1,4.20%
Cyprus,13.9,51.70%
Curaçao and Sint Maarten,13.1,34.80%
Mauritius,12.4,11.50%
Ireland,12,6.20%
Ghana,8.7,14.00%
Paraguay,8.2,5.50%
Nepal,8,4.20%
"Tajikistan, Rep. of",7.4,13.50%
"North Macedonia, Republic of",6.9,9.70%
Guatemala,6.9,2.10%
Tunisia,6.8,5.00%
Latvia,6.7,8.80%
Mongolia,6,8.30%
Lithuania,5.8,6.40%
Colombia,4.7,0.50%
"Bahrain, Kingdom of",4.7,7.30%
Brunei Darussalam,4.6,7.20%
"Mozambique, Rep. of",3.9,7.40%
Albania,3.4,3.50%
"Slovenia, Rep. of",3.2,8.60%
"Aruba, Kingdom of the Netherlands",3.1,13.60%
Oman,2.4,0.90%
Luxembourg,2.2,5.00%
Hong Kong SAR,2.1,0.00%
Iceland,2,2.30%
Trinidad and Tobago,1.9,2.10%
Bosnia and Herzegovina,1.5,1.10%
